Unique Identifier,Description,Start Date,End Date,Reasonable Worst Case,Estimated Expected Loss,Probability,Crystallised to Date,Premium Agreed,Premiums to Date,Category,Type of Beneficiary,Sector of Beneficiary,Sector of Risk,Cross Sector Trigger,Reported As,Reporting Category,Notes,Status,Department,FYE,Group, el_lower , el_mid , el_upper ,prob_lower,prob_mid,prob_upper,Beneficiary,el_minus_sens,el_plus_sens, el_lower-1 , el_mid-1 , el_upper-1 , el_lower+1 , el_mid+1 , el_upper+1 ,Duration(Years),Future Duration(Years), Cashflow_lower , Cashflow_mid , Cashflow_upper , PAME 
256,Standard Risk Indemnity (preapproved by HM-Treasury) under DEFCON 638 €“ Flights Liability and Indemnity for support and training services for the Apache AH-64E Attack Helicopter (PP1-Pricing Period 1 due to end 31/07/2025) but contract expected to be in place 2040 out of service date. ,2020-07-21,2040-08-01,"£50,000,000.00",£1m to £5m,5% to 10%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Widespread Damage to Property,Unquantifiable,Remote Core,The reasonable worst case valuation reflects complete loss of 1 x Apache helicopter. No such incidents have arisen to date although given the CL does not expire until 2040 the potential for incidents to arise considered slightly higher than with other helicopter related indemnities. ,Ongoing,O,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.05,0.075,0.1,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",20.03,17.34," £58,000.00 "," £173,000.00 "," £288,000.00 "," £3,750,000.00 "
257,Special Risk Indemnity (preapproved by HM-Treasury) under DEFCON 684 - Aviation Products --Titan Auxiliary Power Unit on Chinook & Merlin Helicopters ,2020-07-21,2024-07-31,"£55,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,The reasonable worst case estimate reflects the complete loss of 1 x Chinook Mk6 (the higher value between Chinook and Merlin helicopters).  This is considered a very remote outcome as no claims have been made in the 25 years the platform has been in service. The contract is also due to expire in less than 12 months. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",4.03,1.33, £-   ," £376,000.00 "," £752,000.00 "," £275,000.00 "
258,Special Risk Indemnity to Qinetiq under DEFCON 684 - Aviation Products - for CBRN related products associated with aircrew (PATSY Below the Neck System (BNS)) ,2020-04-14,2027-11-30,"£500,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,The likelihood of failure and catastrophic loss associated with these systems is judged extremely remote. Notional value reported.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",7.63,4.67, £-   ," £107,000.00 "," £214,000.00 "," £2,500.00 "
259,Special Risk Indemnity to US company under DEFCON 684 - Aviation Products - relating to Aircrew Protection Equipment and Detection (APED) modular Aircrew CBRN protection system ,2020-04-14,2024-03-31,"£500,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,The likelihood of failure and catastrophic loss associated with these systems is judged extremely remote. Notional value reported. Contract expires in 9 months.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",3.96,1, £-   ," £500,000.00 "," £1,000,000.00 "," £2,500.00 "
260,Special Risk Indemnity under DEFCON 684 €“ Aviation Products relating to Typhoon aircraft engines support contract (EJISS) with Rolls Royce.,2019-05-30,2023-12-31,"£90,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Widespread Damage to Property,Unquantifiable,Remote Core,No incidents have arisen in the many years the contract has been in place. The contract is due to expire in less than 5 months.  Worst case reflects loss of 1 x Typhoon aircraft. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",4.59,0.75, £-   ," £667,000.00 "," £1,333,000.00 "," £450,000.00 "
261,Special Risk Indemnity - DEFCON 684 €“ Aviation Products -associated with the Chinook Through Life Customer Support (TLCS) contract ,2020-02-24,2026-03-31,"£55,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Widespread Damage to Property,Unquantifiable,Remote Core,The reasonable worst case estimate reflects the complete loss of 1 x Chinook Mk6.  This is considered a very remote outcome as no claims have been made in the 25 years the platform has been in service. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",6.1,3, £-   ," £167,000.00 "," £333,000.00 "," £275,000.00 "
262,Special Risk Indemnity - DEFCON 638 €“ Flights Liability and Indemnity as part of the Chinook Through Life Customer Support (TLCS) contract ,2020-02-24,2026-03-31,"£55,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Widespread Damage to Property,Unquantifiable,Remote Core,The reasonable worst case estimate reflects the complete loss of 1 x Chinook Mk6.  This is considered a very remote outcome as no claims have been made in the 25 years the platform has been in service.  ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",6.1,3, £-   ," £167,000.00 "," £333,000.00 "," £275,000.00 "
263,Indemnity associated with the Commercially Support Shipping programme specifically - Special Risk Defcon 661 War Risk indemnity - the indemnity relates to the TIDE Class vessels. ,2020-02-11,2028-04-01,"£130,000,000.00",£1m to £5m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Widespread Damage to Property,Unquantifiable,Remote Core,The reasonable worst case estimate reflects the complete loss of 1 x Tide Class ship.  It would be extremely rare for issues to arise giving this scale of loss and therefore potential loss and exposure considered very low. ,Ongoing,O,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0,0.005,0.01,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",8.14,5," £200,000.00 "," £600,000.00 "," £1,000,000.00 "," £650,000.00 "
264,Indemnity associated with the Commercially Support Shipping programme specifically - Special Risk Defcon 661 War Risk indemnity - the indemnity relates to the TIDE / BAY Class vessels.,2020-02-11,2028-04-01,"£130,000,000.00",£1m to £5m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Widespread Damage to Property,Unquantifiable,Remote Core,The reasonable worst case estimate reflects the complete loss of 1 x Tide/Bay Class ship.  It would be extremely rare for issue to arise giving this scale of loss and therefore potential loss and exposure considered very low. ,Ongoing,O,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0,0.005,0.01,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",8.14,5," £200,000.00 "," £600,000.00 "," £1,000,000.00 "," £650,000.00 "
265,Indemnity associated with the Commercially Support Shipping programme specifically - Special Risk Defcon 661 War Risk indemnity - the indemnity relates to the WAVE and FORT Class vessels. ,2020-02-11,2028-04-01,"£320,000,000.00",£1m to £5m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Widespread Damage to Property,Unquantifiable,Remote Core,The reasonable worst case estimate reflects the current replacement cost value (indexed from historic cost) that is recorded for RFA Fort Victoria - the 1 x Fort class ship still in service. Wave Class vessel valuations range from £120M to £140M.  It would be extremely rare for issues to arise giving this scale of loss and therefore potential loss and exposure considered very low. ,Ongoing,O,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0,0.005,0.01,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",8.14,5," £200,000.00 "," £600,000.00 "," £1,000,000.00 "," £1,600,000.00 "
266,Indemnity (special risk) under Commercially Supported Shipping contract - specifically Risk Defcon 661 War Risk indemnity under Lloyds certification which covers all platforms that were detailed in Future In Service Support Contract (FISS).,2020-02-11,2024-03-31,"£500,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,Limited exposure beyond the high value CSS vessels and liability will expire in less than 9 months.  Notional value recorded. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",4.13,1, £-   ," £500,000.00 "," £1,000,000.00 "," £2,500.00 "
267,Indemnity (Special Risk) under Defcon 661 War Risk indemnity - encompassing all platforms not covered by items referenced MOD-DE&S-289 to 292.,2020-02-11,2028-04-01,"£1,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,Limited exposure beyond the high value CSS vessels and liability which are covered under other items.  Notional value recorded. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",8.14,5, £-   ," £100,000.00 "," £200,000.00 "," £5,000.00 "
268,"Indemnity (Special Risk) - Limitation upon Claims in Respect of War Indemnity (DEFCON 661) under contract associated with the Project MITER fleet (vehicles - excavators, bulldozers, cranes, forklift trucks etc).",2020-02-12,2030-06-01,"£500,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,These are extremely remote risks associated with loss or damage relating to this vehicle fleet associated with war or major conflict.  Notional value reported.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",10.3,7.17, £-   ," £70,000.00 "," £139,000.00 "," £2,500.00 "
269,Special Risk Indemnity (DEFCON 638 - Trials and Taxiing) for Typhoon assets loaned to BAE SYSTEMS for flight tests. ,2019-12-02,2025-12-31,"£90,000,000.00",£1m to £5m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,No incidents in 4 year life of the indemnity - reasonable worst case reflects book value of 1 x Typhoon aircraft although likelihood of issues considered extremely remote. ,Ongoing,O,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0,0.005,0.01,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",6.08,2.75," £364,000.00 "," £1,091,000.00 "," £1,818,000.00 "," £450,000.00 "
270,"A Special Risk Indemnity for Aviation Products DEFCON 684 - increase in value of CL to £43M was approved for 
Merlin Integrated Merlin Operational Support (IMOS) contract (PP4).",2019-12-09,2025-03-31,"£42,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Remote Core,The reasonable worst case valuation reflects estimated costs based on the loss of 1 x Merlin Mk2 and 3 aircrew. There has been no crystallisation of this indemnity in the earlier contract pricing periods so exposure considered extremely low.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5.31,2, £-   ," £250,000.00 "," £500,000.00 "," £210,000.00 "
271,"A Special Risk Indemnity for Flights Trials and Taxiing under DEFCON 638 - increase in value of CL to £43M was approved for 
Merlin Integrated Merlin Operational Support (IMOS) contract (PP4).",2019-12-09,2025-03-31,"£42,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Remote Core,The reasonable worst case valuation reflects estimated costs based on the loss of 1 x Merlin Mk2 and 3 aircrew. There has been no crystallisation of this indemnity in the earlier contract pricing periods so exposure considered extremely low.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5.31,2, £-   ," £250,000.00 "," £500,000.00 "," £210,000.00 "
272,Special Risk Indemnity - Aviation Products DEFCON 684 for CHINOOK ENGINE SUPPORT ARRANGEMENT (CESA) PRICING PERIOD 2 (PP2)    PP1 expired 31/03/20,2019-11-28,2026-03-31,"£55,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Widespread Damage to Property,Unquantifiable,Remote Core,The reasonable worst case estimate reflects the complete loss of 1 x Chinook Mk6.  This is considered a very remote outcome as no claims have been made in the 25 years the platform has been in service relating to the engine or wider platform. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",6.34,3, £-   ," £167,000.00 "," £333,000.00 "," £275,000.00 "
273,BLB-MERLIN - Aviation Products DEFCON 684--Merlin & Apache Mk1 Engines Contract Support extension,2019-04-01,2024-03-01,£60.00,< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Remote Core,The CL relates to potential damage to MOD assets caused by Contractor staff operating on MOD premises.  The value is based on helicopter asset value.  There have been no such incidents to date and therefore the probability and expected loss are considered extremely low. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",4.92,0.92, £-   ," £543,000.00 "," £1,087,000.00 ", £0.30 
274,Special Risk Indemnity for DEFCON 684 Aviation Products for Contractors associated with the Gazelle Attack Helicopter Mk1. ,2019-03-21,2024-03-31,"£1,200,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,The reasonable worst case valuation reflects the latest book value of 1 x Gazelle Attack Helicopter Mk1.  The platform will shortly be going out of service and the CL expires in less than 12 months. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5.03,1, £-   ," £500,000.00 "," £1,000,000.00 "," £6,000.00 "
275,Special Risk Indemnity for DEFCON 684 Aviation Products for Contractors associated with the Gazelle Attack Helicopter Mk1. ,2019-03-21,2024-03-31,"£1,200,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,The reasonable worst case valuation reflects the latest book value of 1 x Gazelle Attack Helicopter Mk1.  The platform will shortly be going out of service and the CL expires in less than 12 months. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5.03,1, £-   ," £500,000.00 "," £1,000,000.00 "," £6,000.00 "
276,Special Risk Indemnity for DEFCON 684 Aviation Products for Contractors associated with the Gazelle Attack Helicopter Mk1. ,2019-03-21,2024-03-31,"£1,200,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,The reasonable worst case valuation reflects the latest book value of 1 x Gazelle Attack Helicopter Mk1.  The platform will shortly be going out of service and the CL expires in less than 12 months. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5.03,1, £-   ," £500,000.00 "," £1,000,000.00 "," £6,000.00 "
277,Special Risk Indemnity for DEFCON 684 - Aviation Products associated with failure of the Health and Usage Monitoring Systems (HUMS) - worst-case scenario is the loss of one Chinook helicopter caused by catastrophic fire from a faulty HUMS line replacement unit (LRU). ,2019-09-27,2023-12-31,"£55,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,The reasonable worst case estimate reflects the complete loss of 1 x Chinook Mk6.  This is considered a very remote outcome as no claims associated with the HUMS system have been made and the contract and likewise the indemnity expires in less than 5 months. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",4.26,0.75, £-   ," £667,000.00 "," £1,333,000.00 "," £275,000.00 "
278,Special Risk Indemnity (HMT pre-approved) Flight and Ground Trials DEFCON 638 relating to the loan of to GA ASI for flight tests of the Protector aircraft.,2019-07-09,2023-09-30,"£29,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Remote Core,The reasonable worst case estimate reflects the value of the assets loaned.  Exposure and risk of occurrence now considered extremely low given the contingent liability ends in less than 3 months time.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",4.23,0.5, £-   ," £1,000,000.00 "," £2,000,000.00 "," £145,000.00 "
279,Indemnity for special risk - DEFCON 600 - Guided Weapons Trials associated with Chinook contract with Strategic Enterprise.,2019-08-07,2024-05-31,"£55,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Widespread Damage to Property,Unquantifiable,Remote Core,The reasonable worst case estimate reflects the complete loss of 1 x Chinook Mk6.  This is considered a very remote outcome as no claims have been and the contract and associated contingent liabilities expire in 9 months.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",4.82,1.17, £-   ," £427,000.00 "," £855,000.00 "," £275,000.00 "
280,Indemnity for special risk - DEFCON 638 - Flights Liability and Indemnity under Chinook contract with Strategic Enterprise.,2019-08-07,2024-05-31,"£55,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Widespread Damage to Property,Unquantifiable,Remote Core,The reasonable worst case estimate reflects the complete loss of 1 x Chinook Mk6.  This is considered a very remote outcome as no claims have been and the contract and associated contingent liabilities expire in 9 months.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",4.82,1.17, £-   ," £427,000.00 "," £855,000.00 "," £275,000.00 "
281,Indemnity for special risk - DEFCON 684 - Aviation Products under Chinook contract with Strategic Enterprise.,2019-08-07,2024-05-31,"£55,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Widespread Damage to Property,Unquantifiable,Remote Core,The reasonable worst case estimate reflects the complete loss of 1 x Chinook Mk6.  This is considered a very remote outcome as no claims have been and the contract and associated contingent liabilities expire in 9 months.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",4.82,1.17, £-   ," £427,000.00 "," £855,000.00 "," £275,000.00 "
282,"Indemnity granted for a Relief Event arsing from changes in legislation impacting on the Type 31 shipbuild programme with Babcock. Limited to unforeseeable changes in law, excluding tariffs and duties. ",2019-11-15,2030-02-01,"£1,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Increased Legal Liability Costs,Unquantifiable,Remote Core,No crystallisation of this event since contract placement and no future legislative changes identified having a claimable impact on the Type 31 contract.  Notional value entered. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",10.21,6.84, £-   ," £73,000.00 "," £146,000.00 "," £5,000.00 "
283,Special Risk - DEFCON 684 Aviation Products associated with the Through Life Enabling Contract (TLEC) with MBDA - Multiple individual approvals and packages of work. ,2019-04-17,2032-10-01,"£90,000,000.00",£1m to £5m,1% to 5%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Widespread Damage to Property,Unquantifiable,Remote Core,There are multiple activities and programmes covered by this indemnity across the range of complex weapons products.  The reasonable worst case scenario is based on loss of 1 x Typhoon aircraft as a result of malfunction with aviation products associated with guided weapons. ,Ongoing,O,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.01,0.025,0.05,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",13.46,9.5," £105,000.00 "," £316,000.00 "," £526,000.00 "," £2,250,000.00 "
284,Special Risk - DEFCON 638 Trials and Taxiing associated with the Through Life Enabling Contract (TLEC) with MBDA - Multiple individual approvals and packages of work. ,2019-04-17,2032-10-01,"£90,000,000.00",£1m to £5m,1% to 5%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Widespread Damage to Property,Unquantifiable,Remote Core,There are multiple activities and programmes covered by this indemnity across the range of complex weapons products.  The reasonable worst case scenario is based on loss of 1 x Typhoon aircraft as a result of malfunction during trials and taxiing of guided weapons and associated equipment. ,Ongoing,O,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.01,0.025,0.05,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",13.46,9.5," £105,000.00 "," £316,000.00 "," £526,000.00 "," £2,250,000.00 "
285,Special Risk - DEFCON 661 War Related Risks associated with the Through Life Enabling Contract (TLEC) with MBDA - Multiple individual approvals and packages of work. ,2019-04-17,2032-10-01,"£90,000,000.00",£1m to £5m,1% to 5%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Widespread Damage to Property,Unquantifiable,Remote Core,There are multiple activities and programmes covered by this indemnity across the range of complex weapons products.  The reasonable worst case scenario is based on loss of 1 x Typhoon aircraft as a result of war related risks associated with guided weapons. ,Ongoing,O,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.01,0.025,0.05,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",13.46,9.5," £105,000.00 "," £316,000.00 "," £526,000.00 "," £2,250,000.00 "
286,Special Risk - DEFCON 600 Guided Weapons Trials Related Risks associated with the Through Life Enabling Contract (TLEC) with MBDA - Multiple individual approvals and packages of work. ,2019-04-17,2032-10-01,"£90,000,000.00",£1m to £5m,1% to 5%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Widespread Damage to Property,Unquantifiable,Remote Core,There are multiple activities and programmes covered by this indemnity across the range of complex weapons products.  The reasonable worst case scenario is based on loss of 1 x Typhoon aircraft as a result of malfunction with aviation products associated with guided weapons trials and testing. ,Ongoing,O,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.01,0.025,0.05,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",13.46,9.5," £105,000.00 "," £316,000.00 "," £526,000.00 "," £2,250,000.00 "
287,Special Risk Indemnity associated with the WILDCAT Helicopter programme - Aviation Products DEFCON 684.  Relates to Wildcat Guided Weapons programme.,2019-04-16,2026-09-30,"£13,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Remote Core,Financial exposure risk against DEFCON 684 has been assessed as £12.6M (rounded to £13M in the reasonable worst case estimate). This is the cost of replacing a Wildcat helicopter. The cost of any loss of life is deemed unquantifiable. Flights have been undertaken with no incidents reported.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",7.46,3.5, £-   ," £143,000.00 "," £286,000.00 "," £65,000.00 "
288,Special risk indemnity - Trials and Taxiing - DEFCON 638--relating to the through life support contract for the GAZELLE safety modification. ,2022-04-05,2024-04-03,"£1,200,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,The reasonable worst case valuation reflects the latest book value of 1 x Gazelle Attack Helicopter Mk1.  The platform will shortly be going out of service and the CL expires in less than 12 months. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",2,1.01, £-   ," £495,000.00 "," £990,000.00 "," £6,000.00 "
289,DEFCON 661 €“ War Risk Indemnity ,2018-07-17,2023-06-30,£0.00,< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,CL has expired since March 2023,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",4.95,0.25, £-   ," £2,000,000.00 "," £4,000,000.00 ", £-   
